query,helios_s,helios_peak_gb,innodb_s,innodb_peak_gb,speedup,md5_match
q1,30.264138210,13.3,8.480147086,.4,.28,OK
q2,2.221605103,8.9,.638690312,.5,.28,OK
q3,27.222508023,13.8,3.501673108,.5,.12,OK
q4,28.805274417,16.2,.552543137,.5,.01,OK
q5,335.410232891,16.1,1.598909281,.5,0,OK
q6,22.609380529,18.2,1.032878391,.5,.04,OK
q7,25.961756269,18.3,.157968117,.5,0,OK
q8,30.166565480,18.4,1.497643936,.5,.04,OK
q9,37.656874020,18.4,8.378957508,.5,.22,OK
q10,26.029094871,18.9,1.437302780,.5,.05,OK
q11,5.684538024,17.5,.549173946,.5,.09,OK
q12,27.320543868,21.0,1.644341720,.5,.06,OK
q13,7.259563982,18.3,4.953351476,.5,.68,OK
q14,27.180210687,22.7,-.269905860,.5,0,OK
q15,54.850085320,30.7,2.495174241,.5,.04,OK
q16,3.488033409,24.9,.326379499,.5,.09,OK
q17,63.709946282,28.2,.398622800,.5,0,OK
q18,53.400529913,35.4,1.602714571,.5,.03,OK
q19,22.248763898,32.3,.197099182,.5,0,OK
q20,35.042054258,33.4,.542670880,.5,.01,OK
q21,64.762760281,41.5,1.845274858,.5,.02,OK
q22,6.900395351,36.2,.369841012,.5,.05,OK
