query,phase15_helios_s,phase16_helios_s,innodb_s
q1,30.264138210,0.77,8.480147086
q2,2.221605103,2.98,.638690312
q3,27.222508023,18.96,3.501673108
q4,28.805274417,15.44,.552543137
q5,335.410232891,18.29,1.598909281
q6,22.609380529,0.35,1.032878391
q7,25.961756269,18.96,.157968117
q8,30.166565480,21.06,1.497643936
q9,37.656874020,24.83,8.378957508
q10,26.029094871,16.40,1.437302780
q11,5.684538024,3.93,.549173946
q12,27.320543868,19.33,1.644341720
q13,7.259563982,5.33,4.953351476
q14,27.180210687,17.21,-.269905860
q15,54.850085320,39.86,2.495174241
q16,3.488033409,1.65,.326379499
q17,63.709946282,34.17,.398622800
q18,53.400529913,29.99,1.602714571
q19,22.248763898,15.94,.197099182
q20,35.042054258,24.77,.542670880
q21,64.762760281,40.94,1.845274858
q22,6.900395351,3.80,.369841012
